
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
. Optical_Sensor_Block, 236, 276, 216, 0, 0, 0, 2, 2, 38
.	. I2C_Core2_APB3, 236, 262, 216, 0, 0, 0, 2, 0, 0
.	.	. I2C_Core2, 60, 173, 44, 0, 0, 0, 0, 0, 0
