
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
. I2C_Instruction_RAM, 85, 164, 71, 0, 0, 0, 1, 2, 81
.	. I2C_Core, 70, 154, 71, 0, 0, 0, 0, 0, 0
