Library, Design Unit ,Compile time , Hardware Gen ,Optimization Stg1 ,Optimization Stg2 , Peak Mem Usage, Incr Mem Usage, Hardware Gen ,Optimization Stg1 ,Optimization Stg2
work , Entity: Nokia5110_Memory Architecture: architecture_nokia5110_memory,0h:00m:01s,0h:00m:00s,0h:00m:00s,0h:00m:01s,   110 MB,    36 MB,     1 MB,     7 MB,    28 MB
